[[-0.0016984362,-0.0016984362[,-0.0011533299[,-0.00089070713[,-0.0009735649[,-0.000890153[,-0.0007807243[,-0.00042679912[,-0.00043676453[,-0.00045709766[,-0.00043337612[,-0.0005149299[,-0.00039508656[,-0.0002552072[,-0.00029135848[,-0.0002660048[,-0.0002498668[,-0.00025487313[,-0.00023329757[,-0.0002315036[,-0.0002549164[,-0.0002491396[,-0.00032281867[,-0.00039869497[,-0.0005146852[,-0.00058528606[,-0.00091553235[,-0.0005331392[,-0.0003794603[,-0.0003833925[,-0.00038459897[,-0.00037487297[,-0.00042375748[,-0.00040299314[,-0.00033557828[,-0.00036911335[,-0.00040824[,-0.00044601865[,-0.000430711[,-0.00043527977[,-0.00054766034[,-0.00064986746[,-0.00047523007[,-0.00046930893[,0.00011885397[,0.00017952237[,-8.372905e-05[,-0.00012591043[,-0.00013855133[,-9.21709e-05[,7.3313575e-05],
[-0.0009218344,-0.0009218344,0.0010383639,-0.00083318324,-0.0021491793,-0.0026478672,-0.0014184825,-0.0014814312,-0.0028273894,-0.0029885604,-0.0015392187,5.2809326e-05,-9.500808e-05,0.0012475576,0.0014332621,0.00073820294,0.0025199663,0.001469495,0.0015098397,0.0006937378,0.00033235943,-4.5294702e-05,0.00039343128,0.00082457025,0.0027634148,-0.0009528152,-0.0005391049,-0.00015366536,0.00022032128,0.00061369676,0.0011333289,0.0017738551,0.0008117441,0.00028248766,6.3284235e-05,0.00031457367,-0.0012109908,-0.0041424274,-0.010066482,-0.0032837251,-0.00044202502,-0.0012440651,-0.005135549,-0.0029533661,-0.0054074153,-0.006385792,-0.0064234138,-0.007908985,-0.011299029,-0.011027595,-0.009346341],
[-0.00083687034,-0.00083687034,-0.00013461882,0.00033038118,8.346828e-05,-0.00027165643,-0.0003203816,-0.00031040693,-0.0041644946,-0.0024480817,-0.00094466214,0.00018005205,0.00031184385,0.00086701696,0.0009968972,0.0032276795,0.0027386318,0.0016181634,0.0010514664,0.0006283815,0.00030959313,0.0002677181,0.0004804843,0.0011650362,0.003373136,0.0009722362,0.00035676928,0.00075750425,0.0011806639,0.0013333907,0.002962469,0.00592285,-0.003167782,0.001534022,0.00043674812,-0.0021339192,-0.006283826,-0.003807082,-0.0017362925,6.8992595e-05,-0.00027236284,-0.0010842087,-0.005173843,-0.0029603215,-0.0038755236,-0.006204481,-0.0067821504,-0.009178809,-0.0062777083,-0.004599754,-0.0021986184],
[0.0063053775,0.0063053775,-0.00041912292,6.8748115e-05,0.00054958876,0.001480903,0.0005280953,0.0032334947,-0.003123825,-0.0041522854,-0.00080864795,0.0009567055,0.0021484757,0.00088823494,0.0044610132,0.012400551,0.016076474,0.0070030396,0.0024945291,0.000986479,0.00070817047,0.0006667808,5.225887e-05,-8.337339e-05,0.001553093,0.0016557812,0.0015948894,0.0020505278,0.0037998038,0.004572026,0.0010719277,-0.0025913436,0.0024788606,0.0038742328,-0.007407299,-0.009339852,-0.0061743855,-0.001835483,-0.0046633678,-0.0015317978,-0.0018003131,-0.0068003824,-0.012255829,-0.003245532,-0.0023874457,-0.0048139286,-0.0076159607,-0.0043371874,-0.005234398,-0.009303145,-0.0105969785],
[0.012648609,0.012648609,0.0019410923,0.001693963,0.0020085918,0.0021785,0.0016135061,0.0019907441,0.001281571,0.00010920494,0.0017734634,0.003674377,0.0024299866,0.0010259211,0.0034922387,0.005550032,0.0037971598,0.008037619,0.004591679,0.0036719448,0.002323527,0.0012214517,0.00029628674,0.00038413788,0.0033004913,0.002779608,0.002736339,0.005589814,0.012208391,0.0076249274,-0.0004226468,-0.0013366175,-0.0012195905,-0.0022947337,-0.0076329983,-0.0054282416,-0.0022729037,-0.0018632824,-0.0035663238,-0.0013196501,-0.0012414668,-0.004382879,-0.003966191,-0.0032326162,-0.0040806704,-0.005059369,-0.0039004143,-0.0045082485,-0.0137305865,-0.014126526,-0.020935891],
[0.015659312,0.015659312,0.015284586,0.0039291335,0.0025634728,0.0027188407,0.0038184393,0.0012469987,-0.00095425383,-0.00043937314,0.0016294412,0.003548161,0.0017053315,0.0009536313,0.00020876735,0.0011907839,0.0019432396,0.0044870726,0.004654502,0.006910704,0.008275579,0.0057180505,0.0023973137,0.00188858,0.005340017,0.00421116,0.0054310425,0.008308316,0.0032295254,0.004885933,0.0047843386,-0.009334494,-0.0049111303,-0.004076981,-0.0027127215,-0.0013980163,-0.0027617293,-0.0058093816,-0.00081946247,9.351702e-05,-0.0051898677,-0.0017825714,-0.0013361315,-9.3426075e-05,0.0003713596,0.00050437346,-0.0049447636,-0.0068275505,-0.014835663,-0.029145705,-0.026558943],
[0.0166392,0.0166392,0.022881854,0.00476888,0.0030591728,0.0020175762,0.0037902282,0.00082306954,-0.000823514,0.0018501526,0.00329032,0.0017056131,0.0019363097,0.001192904,0.0017819004,0.0016429856,0.0009874317,0.0044224104,0.0063795275,0.013350404,0.03061491,0.01304336,0.006804902,0.0059676236,0.007347155,0.0077297236,0.009548778,0.0064168056,0.0042598774,0.007271938,0.00092423323,-0.0037759864,-0.0018933705,-8.803497e-05,0.0013239738,0.0006747282,0.00011183888,0.00044429285,-0.00068112684,-0.0031627156,-0.002514909,-0.0012252614,-0.0014652672,-0.0014226021,-0.0019258166,-0.0019003409,-0.0034400187,-0.0032201218,-0.007961774,-0.018627672,-0.021571256],
[0.016427193,0.016427193,0.035410702,0.0063864174,0.0050644153,0.0054259556,0.004757295,0.0014673822,0.00082567596,0.0040543065,0.008740309,0.00450257,0.004580619,0.0054360973,0.004447237,0.0022990743,0.0034519073,0.006325551,0.015345011,0.020730844,0.017680436,0.007858144,0.008342236,0.014938817,0.013649042,0.011523436,0.016025936,0.0131653445,0.005384715,0.011100035,-0.0010582067,-0.0004376236,0.0012018973,0.0024220888,0.0018300836,0.0017567663,0.0019301072,0.003551703,0.0007362678,-0.0006181642,-0.0012626174,-0.0011145215,-0.0015182368,-0.0007978604,-0.0011561195,-0.0021681811,-0.0024736356,-0.0012794923,-0.0048607304,-0.009778213,-0.010194832],
[0.011520734,0.011520734,0.027527219,0.007487076,0.005571292,0.008051656,0.009416975,0.005025723,0.0029857901,0.0052831178,0.0038834668,0.0026152718,0.0034653514,0.0044301073,0.006149429,0.005862829,0.0050372537,0.0054663504,0.006771014,0.012771397,0.008568373,0.006022072,0.0029164178,0.006801891,0.023485744,0.0105389375,0.008167936,0.018139772,0.015464923,-3.0129338e-05,8.056504e-05,0.0013420179,0.001248982,0.0022315048,0.003595531,0.006734032,0.006042596,0.006496302,0.0049442216,0.0011711064,-0.0010511287,-0.001526923,-0.002178954,-0.0012968852,-0.0006392712,-0.00067792705,-0.0027198053,-0.0022676685,-0.0034188651,-0.0052878023,-0.0049903993],
[0.006849427,0.006849427,0.012498653,0.01393734,0.0055245324,0.004885511,0.00030976263,-0.0005513721,8.131167e-05,0.0022545727,0.0037720709,0.005608406,0.007907459,0.010486953,0.007928938,0.0062843733,0.004502726,0.004095836,0.005901169,0.014060608,0.016492896,0.006270206,0.01365416,0.032732543,0.03310974,0.019199874,0.022142474,0.017477354,0.009316018,0.0019809296,0.0038006874,0.0014601834,0.0036007133,0.00717389,0.008082848,0.008341676,0.010391158,0.00885919,0.005134023,0.0015082167,-0.0024150538,-0.0023247893,-0.002911154,-0.0030271022,-0.002073465,-0.00041553934,0.000105177365,-0.00025398604,-0.003543907,-0.0033708478,-0.0024614614],
[0.002749865,0.002749865,0.0039401534,0.0034631402,0.0019939316,0.00097557553,0.000100630736,0.0013423964,0.0029693118,0.005359848,0.006513192,0.007939897,0.013190363,0.014039618,0.007238894,0.006639075,0.0038987182,0.0064343964,0.009982895,0.021819128,0.030611329,0.01761957,0.006547001,0.021313058,0.05265561,0.035730794,0.023295727,0.02316929,0.023687102,0.008855818,0.008158363,0.0046369187,0.009934297,0.009257126,0.007317028,0.00792647,0.0064202053,0.0047027557,0.0009160662,0.0012602664,-0.0006684545,-0.00079308177,-0.0018025277,-0.0029281504,-0.003233641,-0.00332569,-0.000501709,0.00011120187,-0.004662733,-0.0026130553,-0.0015882623],
